tx_week,asset,whale_tx_count,total_amount,total_usd_volume,avg_usd_per_tx
2019-12-30 00:00:00.000 UTC,ETH,177,1467219.668346648,193288757.95478523,1092026.8811004816
2019-12-30 00:00:00.000 UTC,USDC,55,106619273.985493,107080784.19976494,1946923.3490866353
2019-12-30 00:00:00.000 UTC,USDT,274,606799320.1913769,608747221.8755431,2221705.1893267995
2020-01-06 00:00:00.000 UTC,ETH,385,3291940.235709775,467654512.9979601,1214687.0467479485
2020-01-06 00:00:00.000 UTC,USDC,241,693744893.533823,695217717.8405567,2884720.8209151733
2020-01-06 00:00:00.000 UTC,USDT,570,1055135435.927129,1058351362.6614666,1856756.776599064
2020-01-13 00:00:00.000 UTC,ETH,613,4688378.956578981,763636233.8404486,1245736.1074069308
2020-01-13 00:00:00.000 UTC,USDC,348,661681835.351013,662829402.702523,1904682.1916739163
2020-01-13 00:00:00.000 UTC,USDT,669,1256503029.283713,1258889333.0960884,1881747.8820569336
2020-01-20 00:00:00.000 UTC,ETH,258,2285285.136316133,372216374.7842842,1442699.1270708689
2020-01-20 00:00:00.000 UTC,USDC,143,293846143.72113997,294999415.08849,2062932.972646783
2020-01-20 00:00:00.000 UTC,USDT,395,919999104.7303098,921966950.5482024,2334093.5456916513
2020-01-27 00:00:00.000 UTC,ETH,513,3729070.459590093,666314546.0498422,1298858.764229712
2020-01-27 00:00:00.000 UTC,USDC,85,150015524.49683303,151589202.38913026,1783402.381048591
2020-01-27 00:00:00.000 UTC,USDT,349,748053383.8298439,750038773.7471952,2149108.234232651
2020-02-03 00:00:00.000 UTC,ETH,718,5157880.986361507,1076429685.455578,1499205.6900495514
2020-02-03 00:00:00.000 UTC,USDC,88,195526665.70796505,196662643.24560288,2234802.764154578
2020-02-03 00:00:00.000 UTC,USDT,720,1401221400.499718,1405073564.740017,1951491.0621389125
2020-02-10 00:00:00.000 UTC,ETH,1310,5834535.3089564,1501896872.2261982,1146486.1620047314
2020-02-10 00:00:00.000 UTC,USDC,80,135500065.4194,135736418.1020156,1696705.2262751951
2020-02-10 00:00:00.000 UTC,USDT,605,1354323501.8272889,1357915745.8547325,2244488.8361235247
2020-02-17 00:00:00.000 UTC,ETH,1438,7390605.31123587,1958437879.525947,1361917.857806639
2020-02-17 00:00:00.000 UTC,USDC,213,414490704.9473561,415265105.2162501,1949601.4329401415
