tx_week,asset,whale_tx_count,total_amount,total_usd_volume,avg_usd_per_tx
2024-12-30 00:00:00.000 UTC,ETH,7008,7050617.535276761,24469672180.566856,3491676.966405088
2024-12-30 00:00:00.000 UTC,USDC,5926,39505939715.60722,39516146600.06092,6668266.385430463
2024-12-30 00:00:00.000 UTC,USDT,4126,19992769586.279568,19978245229.174564,4842037.13746354
2025-01-06 00:00:00.000 UTC,ETH,11265,11021669.82977496,37369526853.85523,3317312.636826918
2025-01-06 00:00:00.000 UTC,USDC,14956,79433615987.81976,79473823428.5159,5313842.165586781
2025-01-06 00:00:00.000 UTC,USDT,9565,37718423102.24117,37726353873.08232,3944208.455105313
2025-01-13 00:00:00.000 UTC,ETH,16522,13650015.017625742,44788663432.3054,2710849.9837976876
2025-01-13 00:00:00.000 UTC,USDC,17384,89657844953.69173,89696363935.99342,5159708.003681168
2025-01-13 00:00:00.000 UTC,USDT,11003,46032461655.21299,46029053967.169395,4183318.546502717
2025-01-20 00:00:00.000 UTC,ETH,16271,14047888.305291876,46434419749.423164,2853814.7470606086
2025-01-20 00:00:00.000 UTC,USDC,17243,102303905770.63116,102357830394.71968,5936196.160454658
2025-01-20 00:00:00.000 UTC,USDT,12169,46922569303.90611,46922632808.40421,3855915.2607777314
2025-01-27 00:00:00.000 UTC,ETH,15133,13645166.27568676,43303723405.03395,2861542.5497280085
2025-01-27 00:00:00.000 UTC,USDC,13591,73090524694.06581,73129016162.95161,5380694.294971055
2025-01-27 00:00:00.000 UTC,USDT,9310,37608931227.47246,37620710951.65465,4040892.6908329376
2025-02-03 00:00:00.000 UTC,ETH,20528,24162661.68687089,65077054494.17312,3170160.4878299455
2025-02-03 00:00:00.000 UTC,USDC,17344,100136730164.05174,100188869487.07265,5776572.2720867535
2025-02-03 00:00:00.000 UTC,USDT,12669,60701422661.808304,60759681765.77269,4795933.5200704625
2025-02-10 00:00:00.000 UTC,ETH,10882,12553172.392416522,33574595776.779133,3085333.190293984
2025-02-10 00:00:00.000 UTC,USDC,13219,87311165034.7463,87355071811.70282,6608296.528610547
2025-02-10 00:00:00.000 UTC,USDT,9138,33891250235.233112,33909355076.38848,3710807.07774004
2025-02-17 00:00:00.000 UTC,ETH,12651,15267499.44031651,41716851552.74033,3297514.153247991
2025-02-17 00:00:00.000 UTC,USDC,15047,90216380947.81715,90266614010.5589,5998977.471293872
2025-02-17 00:00:00.000 UTC,USDT,11215,51055730899.74774,51082003572.323975,4554793.006894693
2025-02-24 00:00:00.000 UTC,ETH,18758,20421527.83114198,48455535825.95876,2583193.0816696216
2025-02-24 00:00:00.000 UTC,USDC,21642,132651555901.87656,132755060450.47025,6134140.118772306
2025-02-24 00:00:00.000 UTC,USDT,14064,61240029412.53674,61254070937.003716,4355380.470492301
2025-03-03 00:00:00.000 UTC,ETH,12537,15411766.136086054,33781287320.355007,2694527.185160326
2025-03-03 00:00:00.000 UTC,USDC,14818,95914591901.15717,95966926834.2358,6476375.140655675
2025-03-03 00:00:00.000 UTC,USDT,11427,41537783510.635864,41552790977.86564,3636369.211329801
2025-03-10 00:00:00.000 UTC,ETH,11682,15523958.68325279,29774401819.70367,2548741.809596274
2025-03-10 00:00:00.000 UTC,USDC,16552,103152334088.51685,103238818124.8889,6237241.307690243
2025-03-10 00:00:00.000 UTC,USDT,10906,43304230339.570496,43337881334.06606,3973765.022379063
2025-03-17 00:00:00.000 UTC,ETH,7378,11410189.948108146,22387681210.89755,3034383.465830516
2025-03-17 00:00:00.000 UTC,USDC,14640,104018797977.9082,104102405865.7869,7110820.072799651
2025-03-17 00:00:00.000 UTC,USDT,9414,43944168578.56261,43976843772.52792,4671430.1861618785
2025-03-24 00:00:00.000 UTC,ETH,7317,9849932.86928871,19531507853.74838,2669332.7666732785
2025-03-24 00:00:00.000 UTC,USDC,16727,132291351961.4169,132381219622.97876,7914223.687629507
2025-03-24 00:00:00.000 UTC,USDT,10026,44177758963.5824,44207439237.11916,4409279.796241688
2025-03-31 00:00:00.000 UTC,ETH,8541,11525950.180221375,20643627454.03028,2417003.5656281793
2025-03-31 00:00:00.000 UTC,USDC,16691,127058768793.66698,127135897301.02888,7617032.969925642
2025-03-31 00:00:00.000 UTC,USDT,10215,42152304914.51851,42171332275.2091,4128373.203642594
2025-04-07 00:00:00.000 UTC,ETH,11220,16866133.933387585,26123429320.731583,2328291.3833094104
2025-04-07 00:00:00.000 UTC,USDC,19438,132699679790.34978,132775593988.6529,6830723.016187514
2025-04-07 00:00:00.000 UTC,USDT,11974,55151310189.95344,55159075176.80718,4606570.5008190395
2025-04-14 00:00:00.000 UTC,ETH,6050,10048228.43282594,16161366153.631683,2671300.190682923
2025-04-14 00:00:00.000 UTC,USDC,16422,114515341264.44948,114580745149.5655,6977271.047957953
2025-04-14 00:00:00.000 UTC,USDT,8245,32035470271.13025,32053130035.99832,3887583.994663228
2025-04-21 00:00:00.000 UTC,ETH,8726,18772783.462805096,32700824046.886284,3747515.934779542
2025-04-21 00:00:00.000 UTC,USDC,18029,132094304331.12346,132115439512.0738,7327940.513177314
2025-04-21 00:00:00.000 UTC,USDT,11416,65461067337.82654,65495018723.26482,5737124.975759006
2025-04-28 00:00:00.000 UTC,ETH,6658,9887589.922218047,17943876381.69398,2695085.067842292
2025-04-28 00:00:00.000 UTC,USDC,14420,103107871942.62738,103151364412.17894,7153353.981427111
2025-04-28 00:00:00.000 UTC,USDT,9366,50229201735.23064,50265594767.19075,5366815.584795083
2025-05-05 00:00:00.000 UTC,ETH,12625,15616115.920656212,33328001209.171936,2639841.679934411
2025-05-05 00:00:00.000 UTC,USDC,18022,125265497341.80142,125310323813.5437,6953186.317475514
2025-05-05 00:00:00.000 UTC,USDT,9543,46219883670.29827,46236642323.112816,4845084.598460947
2025-05-12 00:00:00.000 UTC,ETH,13126,16186762.69769103,41408037601.91149,3154657.7481267327
2025-05-12 00:00:00.000 UTC,USDC,16218,104922720005.27446,104939459409.7087,6470554.902559421
2025-05-12 00:00:00.000 UTC,USDT,10193,52664041508.38499,52687139226.07753,5168953.127251794
2025-05-19 00:00:00.000 UTC,ETH,11880,16965341.167238478,43427198194.85044,3655488.063539599
2025-05-19 00:00:00.000 UTC,USDC,18252,113938394473.58534,113956510468.45772,6243508.134366521
2025-05-19 00:00:00.000 UTC,USDT,10810,48866156088.35938,48890810841.22475,4522739.208253908
2025-05-26 00:00:00.000 UTC,ETH,10921,13209141.97304386,34620130448.382744,3170051.3184124846
2025-05-26 00:00:00.000 UTC,USDC,16166,94493006136.89606,94519075088.45592,5846781.831526409
2025-05-26 00:00:00.000 UTC,USDT,9993,39981085019.71238,40011060120.56573,4003908.748180299
2025-06-02 00:00:00.000 UTC,ETH,11433,15274228.950228708,39102045355.13051,3420103.67839854
2025-06-02 00:00:00.000 UTC,USDC,16951,92664856080.14017,92705266109.7607,5469014.577886892
2025-06-02 00:00:00.000 UTC,USDT,9562,44105565597.78544,44152207771.707726,4617465.778258495
2025-06-09 00:00:00.000 UTC,ETH,13502,17406784.602039758,46430198300.79925,3438764.50161452
2025-06-09 00:00:00.000 UTC,USDC,16687,108983025132.05556,109019029416.59404,6533171.2960145045
2025-06-09 00:00:00.000 UTC,USDT,10620,49850009175.31383,49885545244.40291,4697320.6444823835
2025-06-16 00:00:00.000 UTC,ETH,9853,13795086.340986144,34213945960.56223,3472439.4560603094
2025-06-16 00:00:00.000 UTC,USDC,15920,116711773408.5522,116784344137.90094,7335700.00866212
2025-06-16 00:00:00.000 UTC,USDT,9035,39340404228.11056,39376017447.66947,4358164.631728774
2025-06-23 00:00:00.000 UTC,ETH,8073,12014779.81304837,28937745696.774883,3584509.562340503
2025-06-23 00:00:00.000 UTC,USDC,15561,106400857779.9665,106445344474.05702,6840520.8196168
2025-06-23 00:00:00.000 UTC,USDT,9292,47198569592.20898,47243156431.297905,5084282.870350614
2025-06-30 00:00:00.000 UTC,ETH,7875,9915365.561353888,24939317203.264606,3166897.4226367753
2025-06-30 00:00:00.000 UTC,USDC,14071,108014085970.63838,108053068327.20705,7679132.138952957
2025-06-30 00:00:00.000 UTC,USDT,8659,41190881250.65435,41217084692.04752,4760028.258695868
2025-07-07 00:00:00.000 UTC,ETH,12849,19746777.410587296,55296899983.5418,4303595.609272457
2025-07-07 00:00:00.000 UTC,USDC,16478,123555585263.42567,123494166620.546,7494487.596828863
2025-07-07 00:00:00.000 UTC,USDT,11379,48531420288.30991,48517182555.05656,4263747.478254378
2025-07-14 00:00:00.000 UTC,ETH,21124,26584325.036955133,89666753088.8179,4244780.964250043
2025-07-14 00:00:00.000 UTC,USDC,21086,161445282716.2399,161351356465.38052,7652060.915554421
2025-07-14 00:00:00.000 UTC,USDT,14116,92669413512.32672,92643522376.9559,6563015.18680617
2025-07-21 00:00:00.000 UTC,ETH,18412,25241899.57042574,93511247204.77142,5078820.725872878
2025-07-21 00:00:00.000 UTC,USDC,20102,151380313194.09454,151304008080.8566,7526813.654405363
2025-07-21 00:00:00.000 UTC,USDT,15147,84074832575.59604,84066750034.07974,5550059.41995641
2025-07-28 00:00:00.000 UTC,ETH,14983,17695938.578914177,65710809732.5304,4385691.098747273
2025-07-28 00:00:00.000 UTC,USDC,21587,153559319764.4407,153560602748.44888,7113568.478642187
2025-07-28 00:00:00.000 UTC,USDT,18316,82373542885.53519,82366799993.95741,4496986.241207546
2025-08-04 00:00:00.000 UTC,ETH,18302,21004072.28814519,80451413799.4469,4395771.707979833
2025-08-04 00:00:00.000 UTC,USDC,21071,159625582677.87915,159623077457.6223,7575486.567207172
2025-08-04 00:00:00.000 UTC,USDT,16794,71383926627.24641,71392149394.21825,4251050.934513412
2025-08-11 00:00:00.000 UTC,ETH,25383,29054583.52307381,131094151368.29744,5164643.713048003
2025-08-11 00:00:00.000 UTC,USDC,27176,221540636350.72855,221473537579.69223,8149600.293630123
2025-08-11 00:00:00.000 UTC,USDT,17858,100586481196.5242,100596475641.4415,5633132.245572937
2025-08-18 00:00:00.000 UTC,ETH,22541,26448958.54869947,118494859984.87488,5256859.056158772
2025-08-18 00:00:00.000 UTC,USDC,26010,225611724687.49417,225654058895.02795,8675665.470781544
