tx_week,asset,whale_tx_count,total_amount,total_usd_volume,avg_usd_per_tx
2018-01-01 00:00:00.000 UTC,ETH,6659,12540212.80334347,12206541253.016603,1833089.240579157
2018-01-08 00:00:00.000 UTC,ETH,24724,22344954.22865844,28563649744.16147,1155300.5073677993
2018-01-15 00:00:00.000 UTC,ETH,7003,12141182.442661902,13337498678.92722,1904540.7223942908
2018-01-22 00:00:00.000 UTC,ETH,5945,10618153.790548934,11179550788.32499,1880496.3479100063
2018-01-22 00:00:00.000 UTC,USDT,15,141982305.552,141804853.57867408,9453656.90524494
2018-01-29 00:00:00.000 UTC,ETH,6515,11644136.475662362,12304247336.526808,1888602.8145091033
2018-01-29 00:00:00.000 UTC,USDT,9,34836776.5105,34479884.66509889,3831098.296122099
2018-02-05 00:00:00.000 UTC,ETH,3622,7298581.451106284,5691504715.861153,1571370.7111709423
2018-02-05 00:00:00.000 UTC,USDT,1,1979979.5,1981916.90994075,1981916.90994075
2018-02-12 00:00:00.000 UTC,ETH,2676,5975519.184978016,5382632519.373974,2011447.129810902
2018-02-19 00:00:00.000 UTC,ETH,2303,7621413.295416507,6593641720.810681,2863066.313856136
2018-02-26 00:00:00.000 UTC,ETH,2689,4685191.070832912,4063651028.335311,1511212.7290201974
2018-03-05 00:00:00.000 UTC,ETH,2416,5159149.907843166,3968658707.90219,1642656.749959516
2018-03-05 00:00:00.000 UTC,USDT,2,1999958.4,2001925.1924232,1000962.5962116
2018-03-12 00:00:00.000 UTC,ETH,2228,7034547.862594021,4368111546.797818,1960552.7588859147
2018-03-12 00:00:00.000 UTC,USDT,4,5024653.0515,5020794.28685471,1255198.5717136776
2018-03-19 00:00:00.000 UTC,ETH,1737,4903453.8278246885,2661682896.751913,1532344.7879976472
2018-03-19 00:00:00.000 UTC,USDT,6,8599992.54,8609199.290856881,1434866.5484761468
2018-03-26 00:00:00.000 UTC,ETH,1580,7393659.558799875,3252443657.2173624,2058508.6438084573
2018-03-26 00:00:00.000 UTC,USDT,3,4899997.0600000005,4888690.376167569,1629563.4587225232
2018-04-02 00:00:00.000 UTC,ETH,801,3407950.8375509037,1325246232.7132628,1654489.6787930871
2018-04-09 00:00:00.000 UTC,ETH,1231,4425312.681354462,2013625190.0373435,1635763.7612001167
2018-04-09 00:00:00.000 UTC,USDT,5,8640146.97,8641441.132077117,1728288.2264154232
2018-04-16 00:00:00.000 UTC,ETH,1744,4516577.304932253,2511293844.6111183,1439962.0668641734
2018-04-16 00:00:00.000 UTC,USDT,1,10161870.414756,10135647.708150722,10135647.708150722
2018-04-23 00:00:00.000 UTC,ETH,2962,9030573.773481466,5929248849.721907,2001772.0627015217
2018-04-23 00:00:00.000 UTC,USDT,6,20960790.945,20949889.42512648,3491648.2375210803
2018-04-30 00:00:00.000 UTC,ETH,3168,7126049.702724306,5209790032.710992,1644504.4295173583
2018-04-30 00:00:00.000 UTC,USDT,2,6998210.23,6975838.672415867,3487919.3362079337
2018-05-07 00:00:00.000 UTC,ETH,2885,7828607.519562692,5752938953.179661,1994086.292263314
2018-05-07 00:00:00.000 UTC,USDT,6,10987043.2557,10980048.90506577,1830008.1508442948
2018-05-14 00:00:00.000 UTC,ETH,2328,5067769.918818173,3588427385.0157533,1541420.6980308215
2018-05-14 00:00:00.000 UTC,USDT,1,1000000.0,1001030.8333333334,1001030.8333333334
2018-05-21 00:00:00.000 UTC,ETH,2359,7230578.68459431,4473153564.440867,1896207.5304963405
2018-05-21 00:00:00.000 UTC,USDT,3,2999999.44,3002161.18944693,1000720.39648231
2018-05-28 00:00:00.000 UTC,ETH,2168,7350468.736098242,4160537100.911026,1919066.928464495
2018-06-04 00:00:00.000 UTC,ETH,2273,5926831.347619645,3547740478.649434,1560818.512384265
2018-06-04 00:00:00.000 UTC,USDT,2,1999998.0,2001829.9148347504,1000914.9574173752
2018-06-11 00:00:00.000 UTC,ETH,1619,5988734.927856343,3015560624.8999486,1862606.9332303577
2018-06-11 00:00:00.000 UTC,USDT,1,19999998.4393,20105281.76441755,20105281.76441755
2018-06-18 00:00:00.000 UTC,ETH,1309,4086260.78031424,2044604976.5446477,1561959.4931586308
2018-06-18 00:00:00.000 UTC,USDT,6,10923964.469942,10948276.372514157,1824712.7287523595
2018-06-25 00:00:00.000 UTC,ETH,1146,4677802.862910086,2073022448.695278,1808920.1122995445
2018-06-25 00:00:00.000 UTC,USDT,8,46795980.637864,46836400.62330782,5854550.077913477
2018-07-02 00:00:00.000 UTC,ETH,940,3246963.638974572,1536957403.84171,1635061.067916713
2018-07-02 00:00:00.000 UTC,USDT,2,2000010.0,2007857.525583333,1003928.7627916668
2018-07-09 00:00:00.000 UTC,ETH,771,3085857.0699000987,1393548859.4868755,1807456.3676872577
2018-07-09 00:00:00.000 UTC,USDT,1,2000000.0,2003163.3333333333,2003163.3333333333
2018-07-16 00:00:00.000 UTC,ETH,1164,4004186.746414538,1902521410.2481844,1634468.565505313
2018-07-16 00:00:00.000 UTC,USDT,3,4722405.2362,4721580.720235163,1573860.2400783878
2018-07-23 00:00:00.000 UTC,ETH,892,2577514.41769459,1207144028.7941177,1353300.480710894
2018-07-23 00:00:00.000 UTC,USDT,6,41545915.267795,41479361.31701243,6913226.886168738
2018-07-30 00:00:00.000 UTC,ETH,752,4007960.885293639,1722170245.2474544,2290120.0069779977
2018-07-30 00:00:00.000 UTC,USDT,6,22318422.1045,22309220.655793156,3718203.4426321927
2018-08-06 00:00:00.000 UTC,ETH,822,3312739.286124941,1196902098.545361,1456085.278035719
2018-08-13 00:00:00.000 UTC,ETH,985,4496143.115977298,1308909273.2830637,1328841.901810217
2018-08-13 00:00:00.000 UTC,USDT,4,3999980.0,4054229.9786566664,1013557.4946641666
2018-08-20 00:00:00.000 UTC,ETH,590,2645072.1157366917,742390429.980878,1258288.8643743694
2018-08-27 00:00:00.000 UTC,ETH,642,2767340.986445793,789287373.1143929,1229419.5842903317
2018-09-03 00:00:00.000 UTC,ETH,1063,7972603.883808393,2030988708.8362403,1910619.6696483917
2018-09-03 00:00:00.000 UTC,USDT,4,15069222.0,15129792.833660332,3782448.208415083
2018-09-10 00:00:00.000 UTC,ETH,799,4929798.0293119475,960837706.4126312,1202550.320916935
2018-09-17 00:00:00.000 UTC,ETH,549,3511546.9579363754,782182914.509068,1424741.1921840948
2018-09-17 00:00:00.000 UTC,USDT,3,3000001.61271,3014229.1185059454,1004743.0395019818
2018-09-24 00:00:00.000 UTC,ETH,427,3380786.0673804735,762332095.9295464,1785321.067750694
2018-10-01 00:00:00.000 UTC,ETH,282,1885234.554001622,427268676.25526905,1515137.1498413796
2018-10-01 00:00:00.000 UTC,USDT,4,18800317.065286,18904394.995281663,4726098.748820416
2018-10-08 00:00:00.000 UTC,ETH,471,2909984.923724711,609479928.5155839,1294012.587081919
2018-10-08 00:00:00.000 UTC,USDT,3,6178439.82,6161533.185903977,2053844.3953013257
2018-10-15 00:00:00.000 UTC,ETH,526,4691791.263090604,978937214.9613956,1861097.36684676
2018-10-15 00:00:00.000 UTC,USDT,3,5109180.1855,4995654.791848313,1665218.2639494378
2018-10-22 00:00:00.000 UTC,ETH,351,2736785.3394611906,562816154.0858393,1603464.8264553826
2018-10-22 00:00:00.000 UTC,USDC,28,316987613.65927696,323312652.86615133,11546880.459505403
2018-10-29 00:00:00.000 UTC,ETH,254,2092602.7810176848,421944260.2094057,1661197.87484018
2018-10-29 00:00:00.000 UTC,USDC,11,26951149.3363,26957650.966938782,2450695.5424489807
2018-10-29 00:00:00.000 UTC,USDT,1,10000000.0,10114284.166666668,10114284.166666668
2018-11-05 00:00:00.000 UTC,ETH,347,2375888.7208320787,505663027.90259385,1457242.1553388871
2018-11-05 00:00:00.000 UTC,USDC,6,15152511.593842002,14545797.363392696,2424299.5605654493
2018-11-12 00:00:00.000 UTC,ETH,539,3900252.6078614183,718333083.0557753,1332714.4398066332
2018-11-12 00:00:00.000 UTC,USDC,16,56700138.750192,58041310.96423135,3627581.9352644593
2018-11-19 00:00:00.000 UTC,ETH,798,8009483.191108828,1088800989.7616289,1364412.2678717154
2018-11-19 00:00:00.000 UTC,USDC,23,78209212.29588,79506879.57640155,3456820.851147894
2018-11-26 00:00:00.000 UTC,ETH,737,26027959.661866363,2955864027.887262,4010670.322777831
2018-11-26 00:00:00.000 UTC,USDC,17,56093759.109799,56561360.0121595,3327138.824244676
2018-12-03 00:00:00.000 UTC,ETH,412,4953763.190874745,481453835.1427827,1168577.2697640357
2018-12-03 00:00:00.000 UTC,USDC,19,50892339.94130701,51561983.051217236,2713788.5816430124
2018-12-10 00:00:00.000 UTC,ETH,190,3184925.20055764,282909609.68667126,1488997.9457193224
2018-12-10 00:00:00.000 UTC,USDC,28,68928136.817101,70058110.53242163,2502075.3761579157
2018-12-10 00:00:00.000 UTC,USDT,3,4670274.781512,4677850.904507374,1559283.6348357915
2018-12-17 00:00:00.000 UTC,ETH,618,9113900.455059886,988594278.5552276,1599667.1174032807
2018-12-17 00:00:00.000 UTC,USDC,60,212874315.779314,215926293.7820308,3598771.563033847
2018-12-17 00:00:00.000 UTC,USDT,30,42693850.002713,43378663.92542668,1445955.4641808893
2018-12-24 00:00:00.000 UTC,ETH,550,5526565.722479742,748932272.1330284,1361695.04024187
2018-12-24 00:00:00.000 UTC,USDC,27,58681825.81010601,59644735.99959411,2209064.296281263
2018-12-31 00:00:00.000 UTC,ETH,48,492544.80455798714,67646674.1770496,1409305.7120218668
2018-12-31 00:00:00.000 UTC,USDC,3,4530000.1,4603567.589892283,1534522.5299640945
