tx_week,asset,whale_tx_count,total_amount,total_usd_volume,avg_usd_per_tx
2024-01-01 00:00:00.000 UTC,ETH,7576,8072219.797804644,18441329820.58108,2434177.642632138
2024-01-01 00:00:00.000 UTC,USDC,6417,29335785007.537136,29364940302.87731,4576116.612572434
2024-01-01 00:00:00.000 UTC,USDT,6969,26656035539.19635,26699860612.76027,3831232.689447592
2024-01-08 00:00:00.000 UTC,ETH,11966,11716049.765966382,28986132025.141037,2422374.3962177034
2024-01-08 00:00:00.000 UTC,USDC,8924,38440405283.77591,38475775225.604744,4311494.310354633
2024-01-08 00:00:00.000 UTC,USDT,8176,26539493518.713688,26562023915.377472,3248779.8330941135
2024-01-15 00:00:00.000 UTC,ETH,7195,7612232.954485445,19125623884.76453,2658182.610808135
2024-01-15 00:00:00.000 UTC,USDC,6512,36507271810.48342,36546230147.96953,5612136.07923365
2024-01-15 00:00:00.000 UTC,USDT,5683,17649267653.448692,17659299676.444912,3107390.4058498875
2024-01-22 00:00:00.000 UTC,ETH,8209,11858706.897257552,26743976212.64621,3257884.786532611
2024-01-22 00:00:00.000 UTC,USDC,6724,28843345851.968544,28870218408.62122,4293607.734774126
2024-01-22 00:00:00.000 UTC,USDT,6353,17925514042.835186,17932970110.555565,2822756.195585639
2024-01-29 00:00:00.000 UTC,ETH,7245,8528307.73990219,19671922637.949455,2715241.2198687997
2024-01-29 00:00:00.000 UTC,USDC,5949,28226269107.110035,28244549162.50896,4747780.998908886
2024-01-29 00:00:00.000 UTC,USDT,6158,18236700487.68797,18242577650.06178,2962419.235151312
2024-02-05 00:00:00.000 UTC,ETH,7651,9987032.947545782,23992810802.49069,3135905.2153301123
2024-02-05 00:00:00.000 UTC,USDC,6432,32430056284.017673,32441776531.475834,5043808.540341392
2024-02-05 00:00:00.000 UTC,USDT,5558,16866266127.234768,16867742755.77021,3034858.358360959
2024-02-12 00:00:00.000 UTC,ETH,9938,8983200.930128848,24502289337.597923,2465515.127550606
2024-02-12 00:00:00.000 UTC,USDC,6456,27098427076.083103,27102501465.6808,4198033.064696531
2024-02-12 00:00:00.000 UTC,USDT,6487,20465805292.05489,20480385073.49229,3157142.758361691
2024-02-19 00:00:00.000 UTC,ETH,11730,9298172.308112849,27494748986.26453,2343968.370525535
2024-02-19 00:00:00.000 UTC,USDC,6050,26703703989.46519,26724984119.41203,4417352.747010252
2024-02-19 00:00:00.000 UTC,USDT,7361,23220902628.854023,23240641710.551483,3157266.90810372
2024-02-26 00:00:00.000 UTC,ETH,14613,11674227.632860055,38715894909.42028,2649414.5561773954
2024-02-26 00:00:00.000 UTC,USDC,9095,38823951296.99369,38838121289.46673,4270271.7195675345
2024-02-26 00:00:00.000 UTC,USDT,9559,35323068069.70134,35356332366.20948,3698748.0245014625
2024-03-04 00:00:00.000 UTC,ETH,16900,13136618.432879422,49604996427.22516,2935206.8891849206
2024-03-04 00:00:00.000 UTC,USDC,11193,52615919497.17823,52645269212.55692,4703410.096717317
2024-03-04 00:00:00.000 UTC,USDT,11176,48843658336.1187,48927116209.12572,4377873.676550261
2024-03-11 00:00:00.000 UTC,ETH,16791,12859168.008987768,49816811927.79435,2966875.8220352777
2024-03-11 00:00:00.000 UTC,USDC,12126,55888004179.90269,55935251464.22845,4612836.175509521
